Player,Ft.,In.,PlayerID
Richard Lovelady,6,0,lovelri01
Jesús Luzardo,6,0,luzarje01
Zach McKinstry,6,0,mckinza01
Max Meyer,6,0,meyerma01
Ryan Miller,6,0,millery01
A.J. Minter,6,0,minteaj01
Rafael Montero,6,0,montera01
Parker Mushinski,6,0,mushipa01
Andre Pallante,6,0,pallaan01
Freddy Peralta,6,0,peralfr01
Wandy Peralta,6,0,peralwa01
Cionel Pérez,6,0,perezci01
Martín Pérez,6,0,perezma02
Ricardo Pinto,6,0,pintori01
Erasmo Ramírez,6,0,ramirer02
Yariel Rodríguez,6,0,rodriya01
Randy Rodríguez,6,0,rodrira02
Carlos Rodríguez,6,0,rodrica02
Miguel Rojas,6,0,rojasmi02
Sixto Sánchez,6,0,sanchsi01
Tanner Scott,6,0,scottta01
Chase Silseth,6,0,silsech01
Dominic Smith,6,0,smithdo02
Spencer Strider,6,0,stridsp01
Troy Taylor,6,0,taylotr01
Caleb Thielbar,6,0,thielca01
Trent Thornton,6,0,thorntr01
Kyle Tyler,6,0,tylerky01
Edwin Uceta,6,0,ucetaed01
Ildemaro Vargas,6,0,vargail01
Randy Vásquez,6,0,vasqura02
Will Vest,6,0,vestwi01
Victor Vodnik,6,0,vodnivi01
Austin Warren,6,0,warreau01
Ángel Zerpa,6,0,zerpaan01
Dan Altavilla,5,11,altavda01
Pedro Avila,5,11,avilape01
Tucker Barnhart,5,11,barnhtu01
Jake Bauers,5,11,bauerja01
Jalen Beeks,5,11,beeksja02
Prelander Berroa,5,11,berropr01
David Bote,5,11,boteda01
Oswaldo Cabrera,5,11,cabreos01
Humberto Castellanos,5,11,castehu01
Nestor Cortes,5,11,cortene01
Johnny Cueto,5,11,cuetojo01
Connor Gillispie,5,11,gillico01
Sean Guenther,5,11,guentse01
Garrett Hampson,5,11,hampsga01
Kiké Hernández,5,11,hernaen02
Isiah Kiner-Falefa,5,11,kineris01
Jonathan Loáisiga,5,11,loaisjo01
Scott McGough,5,11,mcgousc01
Owen Miller,5,11,milleow01
Adrián Morejón,5,11,morejad01
Daniel Palencia,5,11,palenda01
Enoli Paredes,5,11,pareden01
Luis Peralta,5,11,perallu01
José Quijada,5,11,quijajo01
Gerardo Reyes,5,11,reyesge01
David Robertson,5,11,roberda08
Manuel Rodríguez,5,11,rodrima01
JoJo Romero,5,11,romerjo01
Nick Sandlin,5,11,sandlni01
JP Sears,5,11,searsjp01
Gabe Speier,5,11,speiega01
Luis Torrens,5,11,torrelu01
Framber Valdez,5,11,valdefr01
Tyler Zuber,5,11,zuberty01
Valente Bellozo,5,10,bellova01
Vidal Bruján,5,10,brujavi01
Danny Coulombe,5,10,couloda01
Paolo Espino,5,10,espinpa01
Sonny Gray,5,10,grayso01
Luis Guillorme,5,10,guilllu01
Tyler Heineman,5,10,heinety01
Ronny Henriquez,5,10,henriro01
Kevin Herget,5,10,hergeke01
Daysbel Hernández,5,10,hernada03
Shota Imanaga,5,10,imanash01
Dominic Leone,5,10,leonedo01
Danny Mendick,5,10,mendida01
Eli Morgan,5,10,morgael01
Austin Pruitt,5,10,pruitau01
Ethan Roberts,5,10,roberet01
Chase Shugart,5,10,shugach01
Garrett Stubbs,5,10,stubbga01
José Suarez,5,10,suarejo01
Jose Trevino,5,10,trevijo01
Yoshinobu Yamamoto,5,10,yamamyo01
Mike Yastrzemski,5,10,yastrmi01
Kirby Yates,5,10,yateski01
Deivi García,5,9,garcide01
Zac Kristofak,5,9,kristza01
Sam Moll,5,9,mollsa01
Ben Rortvedt,5,9,rortvbe01
Michael Stefanic,5,9,stefami01
Donovan Walton,5,9,waltodo01
Eddy Alvarez,5,8,alvared01
Yuki Matsui,5,8,matsuyu01
Pablo Reyes,5,8,reyespa01
Leo Rivas,5,8,rivasle01
Marcus Stroman,5,7,stromma01
Clayton Andrews,5,6,andrecl02
