Player,Ft.,In.,PlayerID
Austin Davis,6,4,davisau01
Jacob deGrom,6,4,degroja01
Jake Diekman,6,4,diekmja01
Dane Dunning,6,4,dunnida01
Jake Eder,6,4,ederja01
Fraser Ellard,6,4,ellarfr01
Kent Emanuel,6,4,emanuke01
Mason Englert,6,4,englema01
Bailey Falter,6,4,falteba01
Buck Farmer,6,4,farmebu01
Erick Fedde,6,4,feddeer01
Brady Feigl,6,4,feiglbr01
Ryan Feltner,6,4,feltnry01
Tyler Ferguson,6,4,ferguty01
Jack Flaherty,6,4,flaheja01
Jason Foley,6,4,foleyja01
Kyle Freeland,6,4,freelky01
Max Fried,6,4,friedma01
Kody Funderburk,6,4,fundeko01
Robert Garcia,6,4,garciro04
Kevin Ginkel,6,4,ginkeke01
Gordon Graceffo,6,4,gracego01
Jon Gray,6,4,grayjo02
Emerson Hancock,6,4,hancoem01
Edgardo Henriquez,6,4,henried01
Carlos Hernández,6,4,hernaca04
Jaden Hill,6,4,hillja01
Tim Hill,6,4,hillti01
Porter Hodge,6,4,hodgepo01
Colin Holderman,6,4,holdeco01
Cole Irvin,6,4,irvinco01
Joe Jacques,6,4,jacqujo01
Evan Justice,6,4,justiev01
Michael Kelly,6,4,kellymi03
Clayton Kershaw,6,4,kershcl01
Caleb Kilian,6,4,kiliaca01
Tyler Kinley,6,4,kinlety01
George Kirby,6,4,kirbyge01
Matt Krook,6,4,krookma01
Brandon Leibrandt,6,4,leibrbr01
Matthew Liberatore,6,4,liberma01
Zack Littell,6,4,litteza01
Ben Lively,6,4,livelbe01
Jacob Lopez,6,4,lopezja04
Pablo López,6,4,lopezpa01
Easton Lucas,6,4,lucasea01
Seth Lugo,6,4,lugose01
Anthony Maldonado,6,4,maldoan01
Joe Mantiply,6,4,mantijo01
Michael McGreevy,6,4,mcgremi01
John Means,6,4,meansjo01
James Meeker,6,4,meekeja01
Michael Mercado,6,4,mercami01
Julian Merryweather,6,4,merryju01
Miles Mikolas,6,4,mikolmi01
Kyle Nicolas,6,4,nicolky01
Riley O'Brien,6,4,obrieri01
Adam Oller,6,4,ollerad01
Kaleb Ort,6,4,ortka01
Eric Orze,6,4,orzeer01
Michel Otañez,6,4,otanemi01
Mitchell Parker,6,4,parkemi01
James Paxton,6,4,paxtoja01
Brandon Pfaadt,6,4,pfaadbr01
Zach Pop,6,4,popza01
