"","pitcher","pitch_type","pitcher_name","diff2","active_spin","axis","p_throws","ball_angle","vMove","vMove_trans","hMove","Pitches","Whiff","Swing","Whiff_p","GB_p","FB_p","Velocity","RP_z","RP_x","VAA","release_angle_x","release_angle_z","Spin","bat_speed_diff","Zone_loc","Extension","Zone_loc_sd","EV","LA","Height","Pitches_total"
"1",434378,"FF","Verlander, Justin",0.450273898345952,0.963356904162236,25.3103982318505,"R",56.6413524057217,19.2814564369311,1214.32687073276,8.62814044213264,769,82,405,0.106631989596879,0.279220779220779,0.506493506493506,93.4637191157347,7.12733420026008,-1.43257477243173,-5.70803593915691,-2.26995072034465,-3.54785739670366,2395.15214564369,0.498264609575882,0.717269180754226,5.93836150845254,0.553090118108666,90.5772727272727,24.8831168831169,77,1580
"2",450203,"FF","Morton, Charlie",4.84500849728485,0.908304678445349,60.6476558584794,"R",21.5549751243781,10.4873449131514,281.577094766549,13.6226799007444,806,72,374,0.0893300248138958,0.269230769230769,0.346153846153846,94.1238213399504,5.51287841191067,-2.50073200992556,-4.99889501945157,-3.82981451071781,-1.41236965407131,2248.69478908189,0.208461381833888,0.874416873449132,6.1726368159204,0.637121706959438,92.1361538461538,17.3538461538462,77,2791
"3",453286,"FF","Scherzer, Max",7.93342930858504,0.937880937805017,42.5021725865535,"R",29.3160409556314,15.9240816326531,767.238784527973,10.0995918367347,294,36,162,0.122448979591837,0.244897959183673,0.510204081632653,92.4948979591837,5.57105442176871,-3.09122448979592,-4.70704915392619,-4.17642875241508,-1.84587646547397,2298.95238095238,-0.200506529452223,0.87547619047619,6.21496598639456,0.648466511731574,89.5387755102041,27.7551020408163,75,669
"4",455119,"FF","Martin, Chris",1.10439500292171,0.955015819775041,33.6511546538451,"R",42.4308823529412,15.5235294117647,721.733934127965,9.23,204,20,107,0.0980392156862745,0.472222222222222,0.111111111111111,94.7024509803922,6.16950980392157,-2.72637254901961,-5.25610943742145,-3.41910188561644,-2.61640009631358,2171.94607843137,-1.15647703094625,0.854607843137255,6.56862745098039,0.555806202835661,89.0371428571429,5,80,657
"5",458677,"FF","Wilson, Justin",5.00869292674382,0.96933019441372,27.0279232419442,"L",49.1128712871287,17.6192079207921,978.064089030086,6.60059405940594,404,61,221,0.150990099009901,0.339622641509434,0.452830188679245,95.4888613861386,6.40351485148515,1.38507425742574,-5.08251882201128,2.03985830174035,-2.91092578146075,2213.20297029703,-0.0868067395327091,0.848465346534653,6.0529702970297,0.611936779107893,87.8320754716981,18.6792452830189,74,816
"6",458681,"FF","Lynn, Lance",12.422465092726,0.738740595410869,30.8669636944591,"R",32.4607476635514,13.0431152647975,475.24241857293,4.05981308411215,963,141,491,0.146417445482866,0.289655172413793,0.43448275862069,92.2598130841122,5.61742471443406,-3.11335410176532,-4.81442856691199,-3.77721561264863,-1.46926741366309,2453.64308012487,1.05586071953773,0.771744548286604,6.41806853582555,0.553110340729319,91.6213793103448,22.0689655172414,77,2039
"7",471911,"FF","Carrasco, Carlos",15.1458838299173,0.750343193175237,34.6519169779039,"R",36.9696551724138,10.6577064220183,292.679973545663,3.33770642201835,436,29,198,0.0665137614678899,0.421686746987952,0.325301204819277,91.6339449541284,5.95146788990826,-1.22724770642202,-5.90203768320246,-1.62517317549449,-2.07899256385685,2179.08486238532,0.945036681727403,0.998348623853211,6.5901376146789,0.643679457260562,88.9807228915663,14.0843373493976,76,1693
"8",472610,"FF","García, Luis",5.20009642827913,0.817770654174524,28.6003865283461,"R",46.2666666666667,14.4155555555556,604.220313620564,5.82888888888889,54,5,27,0.0925925925925926,0.363636363636364,0.181818181818182,96.0851851851852,6.27666666666667,-2.32148148148148,-4.86691015490934,-2.92730181014765,-2.1697622972361,2189.66666666667,-5.33961064266804,0.71037037037037,6.66481481481481,0.626960210476402,90.7181818181818,10.3636363636364,74,898
"9",477132,"FF","Kershaw, Clayton",7.60399379497419,0.848308166521249,7.74974560081668,"L",55.3056497175141,17.2047457627119,923.752916295619,0.0738983050847458,177,6,77,0.0338983050847458,0.323529411764706,0.264705882352941,89.9271186440678,6.07853107344633,1.61141242937853,-5.24426587611258,1.79692805223327,-2.34319184381917,2267.8418079096,1.04426864344785,1.00418079096045,6.46214689265537,0.750307157612987,93.4029411764706,20.0294117647059,76,504
"10",489446,"FF","Yates, Kirby",3.16646351717559,0.979382707063587,48.7560269846746,"R",21.6218649517685,14.7991011235955,643.524092218442,13.7229534510433,623,111,315,0.178170144462279,0.363636363636364,0.515151515151515,93.1518459069021,5.28086677367576,-2.44967897271268,-4.55989967216012,-3.84050901032399,-1.57225256734195,2357.17817014446,0.433907280041179,0.895890850722311,6.03162118780096,0.592707397293834,87.9984848484848,21.3484848484848,70,1027
"11",493603,"FF","Ottavino, Adam",7.39147385803202,0.809160599259552,41.8806061101834,"R",27.0151515151515,14.2193939393939,584.67511127089,9.04,99,16,46,0.161616161616162,0.384615384615385,0.384615384615385,93.1969696969697,5.49020202020202,-2.66535353535354,-4.79248272079399,-3.91782708964348,-1.76350171378002,2367.62626262626,-0.0931396664758758,0.978787878787879,6.9979797979798,0.615572195615463,89.2461538461538,16,77,1003
"12",500779,"FF","Quintana, Jose",10.4933180503823,0.860497467737571,24.9770565582078,"L",45.4633333333333,16.1971653543307,799.196619220126,3.85795275590551,635,48,290,0.0755905511811024,0.340425531914894,0.48936170212766,90.6927559055118,5.80292913385827,2.1896062992126,-4.45252827744353,3.12534133103527,-1.4217011811815,2074.43879173291,-1.98403325176152,0.692866141732283,6.53666666666667,0.514283342011713,87.9509433962264,23.3301886792453,73,2819
